FPN,PKGD,TSTD,ASMBLD,MODULE,CHIP,DIE,WAFER,FAB_OUT,RAW
FPN-0001,PKGD-0001,TSTD-0001,ASMBLD-0001,,,,,,
FPN-0002,PKGD-0002,TSTD-0002,ASMBLD-0002,,,,,,
FPN-0003,PKGD-0003,TSTD-0003,ASMBLD-0003,MODULE-0003-A,CHIP-0003-01,DIE-0301,WAFER-0301,FAB-0301,RAW-0301
FPN-0003,PKGD-0003,TSTD-0003,ASMBLD-0003,MODULE-0003-A,CHIP-0003-02,DIE-0302,WAFER-0302,FAB-0302,RAW-0302
FPN-0004,PKGD-0004,TSTD-0004,ASMBLD-0004,,,,,,
FPN-0005,PKGD-0005,TSTD-0005,ASMBLD-0005,MODULE-0005-A,CHIP-0005-01,DIE-0501,WAFER-0501,FAB-0501,RAW-0501
FPN-0005,PKGD-0005,TSTD-0005,ASMBLD-0005,MODULE-0005-B,CHIP-0005-01,DIE-0501,WAFER-0501,FAB-0501,RAW-0501
FPN-0005,PKGD-0005,TSTD-0005,ASMBLD-0005,MODULE-0005-B,CHIP-0005-02,DIE-0502,WAFER-0502,FAB-0502,RAW-0502
FPN-0006,PKGD-0006,TSTD-0006,ASMBLD-0006,MODULE-0006-A,CHIP-0006-01,DIE-0601,WAFER-0601,FAB-0601,RAW-0601
FPN-0006,PKGD-0006,TSTD-0006,ASMBLD-0006,MODULE-0006-A,CHIP-0006-02,DIE-0602,WAFER-0602,FAB-0602,RAW-0602
FPN-0006,PKGD-0006,TSTD-0006,ASMBLD-0006,MODULE-0006-B,CHIP-0006-03,DIE-0603,WAFER-0603,FAB-0603,RAW-0603
FPN-0006,PKGD-0006,TSTD-0006,ASMBLD-0006,MODULE-0006-B,CHIP-0006-02,DIE-0602,WAFER-0602,FAB-0602,RAW-0602
FPN-0007,PKGD-0007,TSTD-0007,ASMBLD-0007,MODULE-0007-A,CHIP-0007-01,DIE-0701,WAFER-0701,FAB-0701,RAW-0701
FPN-0007,PKGD-0007,TSTD-0007,ASMBLD-0007,MODULE-0007-A,CHIP-0007-02,DIE-0702,WAFER-0702,FAB-0702,RAW-0702
FPN-0007,PKGD-0007,TSTD-0007,ASMBLD-0007,MODULE-0007-B,CHIP-0007-03,DIE-0703,WAFER-0703,FAB-0703,RAW-0703
FPN-0007,PKGD-0007,TSTD-0007,ASMBLD-0007,MODULE-0007-B,CHIP-0007-04,DIE-0704,WAFER-0704,FAB-0704,RAW-0704
FPN-0007,PKGD-0007,TSTD-0007,ASMBLD-0007,MODULE-0007-C,CHIP-0007-02,DIE-0702,WAFER-0702,FAB-0702,RAW-0702
FPN-0007,PKGD-0007,TSTD-0007,ASMBLD-0007,MODULE-0007-C,CHIP-0007-05,DIE-0705,WAFER-0705,FAB-0705,RAW-0705
FPN-0008,PKGD-0008,TSTD-0008,ASMBLD-0008,MODULE-0008-A,CHIP-0008-01,DIE-0801,WAFER-0801,FAB-0801,RAW-0801
FPN-0008,PKGD-0008,TSTD-0008,ASMBLD-0008,MODULE-0008-A,CHIP-0008-02,DIE-0802,WAFER-0802,FAB-0802,RAW-0802
FPN-0008,PKGD-0008,TSTD-0008,ASMBLD-0008,MODULE-0008-B,CHIP-0008-03,DIE-0803,WAFER-0803,FAB-0803,RAW-0803
FPN-0008,PKGD-0008,TSTD-0008,ASMBLD-0008,MODULE-0008-B,CHIP-0008-04,DIE-0804,WAFER-0804,FAB-0804,RAW-0804
FPN-0009,PKGD-0009,TSTD-0009,ASMBLD-0009,,,,,,
FPN-0010,PKGD-0010,TSTD-0010,ASMBLD-0010,,,,,,
FPN-0011,PKGD-0011,TSTD-0011,ASMBLD-0011,MODULE-0011-A,CHIP-0011-01,DIE-1101,WAFER-1101,FAB-1101,RAW-1101
FPN-0011,PKGD-0011,TSTD-0011,ASMBLD-0011,MODULE-0011-A,CHIP-0011-02,DIE-1102,WAFER-1102,FAB-1102,RAW-1102
FPN-0011,PKGD-0011,TSTD-0011,ASMBLD-0011,MODULE-0011-B,CHIP-0011-03,DIE-1103,WAFER-1103,FAB-1103,RAW-1103
FPN-0011,PKGD-0011,TSTD-0011,ASMBLD-0011,MODULE-0011-B,CHIP-0011-04,DIE-1104,WAFER-1104,FAB-1104,RAW-1104
FPN-0011,PKGD-0011,TSTD-0011,ASMBLD-0011,MODULE-0011-C,CHIP-0011-05,DIE-1105,WAFER-1105,FAB-1105,RAW-1105
FPN-0011,PKGD-0011,TSTD-0011,ASMBLD-0011,MODULE-0011-C,CHIP-0011-06,DIE-1106,WAFER-1106,FAB-1106,RAW-1106
FPN-0012,PKGD-0012,TSTD-0012,ASMBLD-0012,MODULE-0012-A,CHIP-0012-01,DIE-1201,WAFER-1201,FAB-1201,RAW-1201
FPN-0012,PKGD-0012,TSTD-0012,ASMBLD-0012,MODULE-0012-A,CHIP-0012-02,DIE-1202,WAFER-1202,FAB-1202,RAW-1202
FPN-0012,PKGD-0012,TSTD-0012,ASMBLD-0012,MODULE-0012-B,CHIP-0012-03,DIE-1203,WAFER-1203,FAB-1203,RAW-1203
FPN-0012,PKGD-0012,TSTD-0012,ASMBLD-0012,MODULE-0012-B,CHIP-0012-04,DIE-1204,WAFER-1204,FAB-1204,RAW-1204
FPN-0012,PKGD-0012,TSTD-0012,ASMBLD-0012,MODULE-0012-C,CHIP-0012-05,DIE-1205,WAFER-1205,FAB-1205,RAW-1205
FPN-0012,PKGD-0012,TSTD-0012,ASMBLD-0012,MODULE-0012-C,CHIP-0012-06,DIE-1206,WAFER-1206,FAB-1206,RAW-1206
FPN-0013,PKGD-0013,TSTD-0013,ASMBLD-0013,,,,,,
FPN-0014,PKGD-0014,TSTD-0014,ASMBLD-0014,MODULE-0014-A,CHIP-0014-01,DIE-1401,WAFER-1401,FAB-1401,RAW-1401
