HDR_MATERIAL,HDR_MATL_GROUP,COMP_MATERIAL,COMP_MATL_GROUP,COMP_QTY,HEADER_QTY,PLANT,BOM_ALT,BOM_STATUS,BOM_USG,ITEM_NO,VALID_FROM,VALID_TO,DEL_FLAG
FPN-0001,FPN,PKGD-0001,PKGD,1,1,PLT03,01,01,1,10,2025-02-21,2027-09-18,
PKGD-0001,PKGD,TSTD-0001,TSTD,1,1,PLT03,01,01,1,10,2026-07-18,2027-09-21,
TSTD-0001,TSTD,ASMBLD-0001,ASMBLD,1,1,PLT03,01,01,1,10,2026-04-03,2027-02-19,
FPN-0002,FPN,PKGD-0002,PKGD,1,1,PLT03,01,01,1,10,2027-05-15,2027-12-13,
PKGD-0002,PKGD,TSTD-0002,TSTD,1,1,PLT03,01,01,1,10,2025-03-03,2025-12-03,
TSTD-0002,TSTD,ASMBLD-0002,ASMBLD,1,1,PLT03,01,01,1,10,2026-03-24,2027-05-16,
FPN-0003,FPN,PKGD-0003,PKGD,1,1,PLT03,01,01,1,10,2027-05-10,2028-06-18,
PKGD-0003,PKGD,TSTD-0003,TSTD,1,1,PLT03,01,01,1,10,2027-07-09,2029-08-30,
TSTD-0003,TSTD,ASMBLD-0003,ASMBLD,1,1,PLT03,01,01,1,10,2026-07-24,2027-01-26,
ASMBLD-0003,ASMBLD,MODULE-0003-A,MODULE,1,1,PLT03,01,01,1,10,2027-05-16,2028-10-25,
MODULE-0003-A,MODULE,CHIP-0003-01,CHIP,2,1,PLT03,01,01,1,37,2026-11-21,2027-09-01,
MODULE-0003-A,MODULE,CHIP-0003-02,CHIP,1,1,PLT03,01,01,1,58,2025-07-18,2027-01-16,
CHIP-0003-01,CHIP,DIE-0301,DIE,3,1,PLT03,01,01,1,10,2026-06-26,2027-02-05,
DIE-0301,DIE,WAFER-0301,WAFER,4,1,PLT03,01,01,1,10,2025-09-13,2027-04-03,
WAFER-0301,WAFER,FAB-0301,FAB_OUT,1,1,PLT03,01,01,1,10,2026-08-24,2028-11-24,
FAB-0301,FAB_OUT,RAW-0301,RAW,3,1,PLT03,01,01,1,10,2027-01-11,2029-02-20,
CHIP-0003-02,CHIP,DIE-0302,DIE,2,1,PLT03,01,01,1,10,2025-05-23,2026-01-04,
DIE-0302,DIE,WAFER-0302,WAFER,2,1,PLT03,01,01,1,10,2026-08-16,2027-05-04,
WAFER-0302,WAFER,FAB-0302,FAB_OUT,1,1,PLT03,01,01,1,10,2025-07-26,2027-02-15,
FAB-0302,FAB_OUT,RAW-0302,RAW,2,1,PLT03,01,01,1,10,2027-07-18,2029-10-25,
FPN-0004,FPN,PKGD-0004,PKGD,1,1,PLT02,01,01,1,10,2027-01-29,2028-07-25,
PKGD-0004,PKGD,TSTD-0004,TSTD,1,1,PLT02,01,01,1,10,2026-03-06,2028-07-19,
TSTD-0004,TSTD,ASMBLD-0004,ASMBLD,1,1,PLT02,01,01,1,10,2026-07-01,2028-12-15,
FPN-0005,FPN,PKGD-0005,PKGD,1,1,PLT03,01,01,1,10,2027-12-30,2030-07-13,
PKGD-0005,PKGD,TSTD-0005,TSTD,1,1,PLT03,01,01,1,10,2026-05-17,2027-04-29,
TSTD-0005,TSTD,ASMBLD-0005,ASMBLD,1,1,PLT03,01,01,1,10,2027-08-05,2029-02-23,
ASMBLD-0005,ASMBLD,MODULE-0005-A,MODULE,1,1,PLT03,01,01,1,10,2026-03-26,2028-08-23,
ASMBLD-0005,ASMBLD,MODULE-0005-B,MODULE,1,1,PLT03,01,01,1,20,2026-10-27,2029-06-19,
MODULE-0005-A,MODULE,CHIP-0005-01,CHIP,2,1,PLT03,01,01,1,14,2026-10-09,2028-05-21,
MODULE-0005-B,MODULE,CHIP-0005-01,CHIP,2,1,PLT03,01,01,1,73,2027-03-22,2029-07-07,
MODULE-0005-B,MODULE,CHIP-0005-02,CHIP,4,1,PLT03,01,01,1,28,2026-06-27,2027-05-15,
CHIP-0005-01,CHIP,DIE-0501,DIE,2,1,PLT03,01,01,1,10,2026-06-23,2029-01-22,
DIE-0501,DIE,WAFER-0501,WAFER,4,1,PLT03,01,01,1,10,2027-03-29,2028-09-29,
WAFER-0501,WAFER,FAB-0501,FAB_OUT,1,1,PLT03,01,01,1,10,2025-10-11,2027-09-12,
FAB-0501,FAB_OUT,RAW-0501,RAW,2,1,PLT03,01,01,1,10,2025-07-06,2028-02-14,
CHIP-0005-02,CHIP,DIE-0502,DIE,1,1,PLT03,01,01,1,10,2025-08-13,2026-07-15,
DIE-0502,DIE,WAFER-0502,WAFER,2,1,PLT03,01,01,1,10,2027-05-15,2029-07-13,
WAFER-0502,WAFER,FAB-0502,FAB_OUT,1,1,PLT03,01,01,1,10,2027-02-28,2028-09-20,
FAB-0502,FAB_OUT,RAW-0502,RAW,3,1,PLT03,01,01,1,10,2027-08-17,2029-08-07,
FPN-0006,FPN,PKGD-0006,PKGD,1,1,PLT02,01,01,1,10,2025-08-23,2028-01-18,
PKGD-0006,PKGD,TSTD-0006,TSTD,1,1,PLT02,01,01,1,10,2026-07-01,2029-02-22,
TSTD-0006,TSTD,ASMBLD-0006,ASMBLD,1,1,PLT02,01,01,1,10,2026-11-28,2027-09-18,
ASMBLD-0006,ASMBLD,MODULE-0006-A,MODULE,1,1,PLT02,01,01,1,10,2027-06-10,2028-05-16,
ASMBLD-0006,ASMBLD,MODULE-0006-B,MODULE,1,1,PLT02,01,01,1,20,2027-07-19,2028-01-18,
MODULE-0006-A,MODULE,CHIP-0006-01,CHIP,2,1,PLT02,01,01,1,74,2025-08-06,2027-11-04,
MODULE-0006-A,MODULE,CHIP-0006-02,CHIP,3,1,PLT02,01,01,1,74,2026-02-12,2027-01-14,
MODULE-0006-B,MODULE,CHIP-0006-03,CHIP,1,1,PLT02,01,01,1,86,2026-10-26,2028-09-05,
MODULE-0006-B,MODULE,CHIP-0006-02,CHIP,3,1,PLT02,01,01,1,40,2025-04-29,2026-06-29,
CHIP-0006-01,CHIP,DIE-0601,DIE,1,1,PLT02,01,01,1,10,2025-06-25,2028-01-10,
DIE-0601,DIE,WAFER-0601,WAFER,4,1,PLT02,01,01,1,10,2025-05-22,2028-01-05,
WAFER-0601,WAFER,FAB-0601,FAB_OUT,1,1,PLT02,01,01,1,10,2025-09-20,2028-01-23,
FAB-0601,FAB_OUT,RAW-0601,RAW,2,1,PLT02,01,01,1,10,2025-12-05,2027-03-01,
CHIP-0006-02,CHIP,DIE-0602,DIE,4,1,PLT02,01,01,1,10,2026-03-10,2028-03-11,
DIE-0602,DIE,WAFER-0602,WAFER,2,1,PLT02,01,01,1,10,2026-10-01,2028-05-11,
WAFER-0602,WAFER,FAB-0602,FAB_OUT,2,1,PLT02,01,01,1,10,2027-06-17,2029-05-26,
FAB-0602,FAB_OUT,RAW-0602,RAW,2,1,PLT02,01,01,1,10,2025-09-05,2026-11-12,
CHIP-0006-03,CHIP,DIE-0603,DIE,2,1,PLT02,01,01,1,10,2025-05-12,2026-10-20,
DIE-0603,DIE,WAFER-0603,WAFER,1,1,PLT02,01,01,1,10,2026-04-17,2028-06-07,
WAFER-0603,WAFER,FAB-0603,FAB_OUT,1,1,PLT02,01,01,1,10,2025-01-15,2025-09-24,
FAB-0603,FAB_OUT,RAW-0603,RAW,3,1,PLT02,01,01,1,10,2025-05-01,2026-06-19,
FPN-0007,FPN,PKGD-0007,PKGD,1,1,PLT01,01,01,1,10,2026-11-08,2027-07-18,
PKGD-0007,PKGD,TSTD-0007,TSTD,1,1,PLT01,01,01,1,10,2027-11-19,2029-01-15,
TSTD-0007,TSTD,ASMBLD-0007,ASMBLD,1,1,PLT01,01,01,1,10,2026-07-25,2028-12-06,
ASMBLD-0007,ASMBLD,MODULE-0007-A,MODULE,1,1,PLT01,01,01,1,10,2026-03-15,2028-03-16,
ASMBLD-0007,ASMBLD,MODULE-0007-B,MODULE,1,1,PLT01,01,01,1,20,2025-09-28,2028-04-05,
ASMBLD-0007,ASMBLD,MODULE-0007-C,MODULE,1,1,PLT01,01,01,1,30,2027-08-27,2028-10-28,
MODULE-0007-A,MODULE,CHIP-0007-01,CHIP,4,1,PLT01,01,01,1,34,2025-07-13,2026-04-18,
MODULE-0007-A,MODULE,CHIP-0007-02,CHIP,4,1,PLT01,01,01,1,55,2027-05-18,2029-01-07,
MODULE-0007-B,MODULE,CHIP-0007-03,CHIP,1,1,PLT01,01,01,1,22,2025-05-05,2026-12-18,
MODULE-0007-B,MODULE,CHIP-0007-04,CHIP,1,1,PLT01,01,01,1,41,2026-01-28,2027-02-06,
MODULE-0007-C,MODULE,CHIP-0007-02,CHIP,3,1,PLT01,01,01,1,69,2026-05-27,2027-02-08,
MODULE-0007-C,MODULE,CHIP-0007-05,CHIP,1,1,PLT01,01,01,1,16,2025-01-31,2025-11-02,
CHIP-0007-01,CHIP,DIE-0701,DIE,2,1,PLT01,01,01,1,10,2025-12-07,2027-07-26,
DIE-0701,DIE,WAFER-0701,WAFER,4,1,PLT01,01,01,1,10,2027-09-13,2028-10-15,
WAFER-0701,WAFER,FAB-0701,FAB_OUT,2,1,PLT01,01,01,1,10,2025-05-01,2026-04-14,
FAB-0701,FAB_OUT,RAW-0701,RAW,2,1,PLT01,01,01,1,10,2025-01-05,2026-08-07,
CHIP-0007-02,CHIP,DIE-0702,DIE,3,1,PLT01,01,01,1,10,2027-07-21,2028-11-04,
DIE-0702,DIE,WAFER-0702,WAFER,4,1,PLT01,01,01,1,10,2027-09-24,2028-08-27,
WAFER-0702,WAFER,FAB-0702,FAB_OUT,1,1,PLT01,01,01,1,10,2026-08-31,2027-10-07,
FAB-0702,FAB_OUT,RAW-0702,RAW,1,1,PLT01,01,01,1,10,2025-05-05,2027-12-06,
CHIP-0007-03,CHIP,DIE-0703,DIE,3,1,PLT01,01,01,1,10,2025-04-28,2025-12-15,
DIE-0703,DIE,WAFER-0703,WAFER,4,1,PLT01,01,01,1,10,2027-10-27,2029-10-19,
WAFER-0703,WAFER,FAB-0703,FAB_OUT,1,1,PLT01,01,01,1,10,2025-04-27,2027-03-28,
FAB-0703,FAB_OUT,RAW-0703,RAW,1,1,PLT01,01,01,1,10,2026-01-16,2026-09-23,
CHIP-0007-04,CHIP,DIE-0704,DIE,1,1,PLT01,01,01,1,10,2026-04-27,2027-12-11,
DIE-0704,DIE,WAFER-0704,WAFER,1,1,PLT01,01,01,1,10,2026-05-20,2028-06-30,
